"","Cancer Site","Year","Tumour Type","Age","Region","Gender","Deprivation","Ethnicity - White","Ethnicity - Asian excl Chinese","Ethnicity - Black","Ethnicity - Chinese","Ethnicity - Mixed","Ethnicity - Other","Ethnicity - Unknown","Death Certificate Only"
"1","Skin tumours","2013","Skin cancer","All","All England","Female","All",".k",".k",".k",".k",".k",".k",".k",".k"
"2","Skin tumours","2013","Skin cancer","All","All England","Male","All",".k",".k",".k",".k",".k",".k",".k",".k"
"3","Skin tumours","2013","Skin cancer","Age 00-24","All England","Female","All","32","0","1","0","0","0","36","0"
"4","Skin tumours","2013","Skin cancer","Age 00-24","All England","Male","All","30","1","0","0","0","1","30","0"
"5","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","48","0","0","0","0","0","29","0"
"6","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","75","0","0","0","0","0","35","0"
"7","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","50","0","1","0","0","0","43","0"
"8","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","58","1","0","0","0","0","59","0"
"9","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","41","0","0","1","0","0","35","0"
"10","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","47","0","0","0","0","0","51","0"
"11","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","41","0","0","0","0","0","33","0"
"12","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","45","0","0","0","0","0","48","0"
"13","Skin tumours","2013","Skin cancer","Age 25+","South East","Female","All","55","0","0","0","0","1","48","0"
"14","Skin tumours","2013","Skin cancer","Age 25+","South East","Male","All","62","0","0","0","0","0","69","0"
"15","Skin tumours","2013","Skin cancer","Age 25+","South West","Female","All","43","0","0","0","0","1","23","0"
"16","Skin tumours","2013","Skin cancer","Age 25+","South West","Male","All","64","0","0","0","0","1","30","0"
"17","Skin tumours","2013","Skin cancer","Age 25+","East of England","Female","All","66","0","0","0","0","0","17","0"
"18","Skin tumours","2013","Skin cancer","Age 25+","East of England","Male","All","89","0","0","0","0","2","33","0"
"19","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Female","All","65","0","0","0","0","0","41","0"
"20","Skin tumours","2013","Skin cancer","Age 25+","Midlands","Male","All","126","1","0","0","0","0","63","0"
"21","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Female","All","48","0","0","0","0","0","29","0"
"22","Skin tumours","2013","Skin cancer","Age 25+","North East and Yorkshire","Male","All","90","0","0","0","0","0","48","0"
"23","Skin tumours","2013","Skin cancer","Age 25+","North West","Female","All","49","0","0","0","0","0","33","0"
"24","Skin tumours","2013","Skin cancer","Age 25+","North West","Male","All","96","0","0","0","0","0","38","0"
